E_x, E_y, E_z
+0.2905591 -0.059476344I, -0.40678274 +0.083266881I, -0.29700085 +0.034266961I
+0.077059199 +0.20786781I, -0.12329472 -0.3325885I, -0.46435541 +0.012428264I
+0.084772831 +0.14483731I, -0.1525911 -0.26070715I, -0.48308738 +0.25844447I
+0.099505681 +0.0031579913I, +0.2487642 +0.0078949783I, +0.26484357 -0.67108917I
-0.074937372 +0.071330435I, -0.16860909 +0.16049348I, +0.17804764 +0.84595228I
-0.079055845 +0.036099404I, -0.15811169 +0.072198809I, -1.0018088 +0.23830535I
-0.00071953468 +0.23922454I, -0.0012591857 +0.41864294I, -0.6329234 -0.15154453I
+0.22516419 -0.15167834I, +0.33774628 -0.22751751I, -0.53140898 -0.66203932I
+0.25741881 -0.21447875I, +0.32177351 -0.26809844I, +0.5148941 +0.80210842I
+0.065955655 -0.35275601I, +0.065955655 -0.35275601I, -1.1259622 -0.16457136I
+0.10084189 -0.63873393I, +0.07563142 -0.47905045I, +0.74096189 +0.64751873I
-0.90325303 -0.13723219I, -0.45162651 -0.068616097I, +0.66358715 +0.64862436I
-1.1327013 +0.19167057I, -0.28317533 +0.047917642I, +0.89974575 -0.035244271I
+0.53963039 -0.090772711I, -9.6913835e-16 -3.8986673e-16I, -0.64376848 -1.2799782I
-1.1327013 +0.19167057I, +0.28317533 -0.047917642I, +0.89974575 -0.035244271I
-0.90325303 -0.13723219I, +0.45162651 +0.068616097I, +0.66358715 +0.64862436I
+0.10084189 -0.63873393I, -0.07563142 +0.47905045I, +0.74096189 +0.64751873I
+0.065955655 -0.35275601I, -0.065955655 +0.35275601I, -1.1259622 -0.16457136I
+0.25741881 -0.21447875I, -0.32177351 +0.26809844I, +0.5148941 +0.80210842I
+0.22516419 -0.15167834I, -0.33774628 +0.22751751I, -0.53140898 -0.66203932I
-0.00071953468 +0.23922454I, +0.0012591857 -0.41864294I, -0.6329234 -0.15154453I
-0.079055845 +0.036099404I, +0.15811169 -0.072198809I, -1.0018088 +0.23830535I
-0.074937372 +0.071330435I, +0.16860909 -0.16049348I, +0.17804764 +0.84595228I
-0.065519353 +0.014681291I, -0.21839784 +0.048937638I, -0.61979238 -0.565436I
+0.10935645 -0.047183988I, +0.32806936 -0.14155196I, +0.22883026 +0.57658806I
+0.00021587347 +0.17442605I, +0.00057566258 +0.46513613I, +0.33298827 -0.25407616I
+0.053413218 +0.065609038I, +0.12463084 +0.15308776I, +0.28690041 +1.0885438I
+0.18794187 -0.20466199I, +0.37588374 -0.40932397I, -0.68142308 -0.19274425I
+0.40351184 +0.082611694I, +0.67251973 +0.13768616I, -0.60331567 +0.2064537I
+0.07563142 -0.47905045I, +0.10084189 -0.63873393I, +0.74096189 +0.64751873I
+0.49753926 -0.03123434I, +0.49753926 -0.03123434I, -0.40477187 +1.2367244I
+0.22407864 +0.11391974I, +0.14938576 +0.075946491I, +0.062444477 -1.5659346I
-0.44770091 -0.68718892I, -0.14923364 -0.22906297I, +1.5074036 +0.08688451I
-0.35476055 +1.3938218I, +7.5069246e-16 -1.994953e-15I, +0.92399955 -0.89969553I
-0.44770091 -0.68718892I, +0.14923364 +0.22906297I, +1.5074036 +0.08688451I
+0.22407864 +0.11391974I, -0.14938576 -0.075946491I, +0.062444477 -1.5659346I
+0.49753926 -0.03123434I, -0.49753926 +0.03123434I, -0.40477187 +1.2367244I
+0.07563142 -0.47905045I, -0.10084189 +0.63873393I, +0.74096189 +0.64751873I
+0.40351184 +0.082611694I, -0.67251973 -0.13768616I, -0.60331567 +0.2064537I
+0.18794187 -0.20466199I, -0.37588374 +0.40932397I, -0.68142308 -0.19274425I
+0.053413218 +0.065609038I, -0.12463084 -0.15308776I, +0.28690041 +1.0885438I
+0.00021587347 +0.17442605I, -0.00057566258 -0.46513613I, +0.33298827 -0.25407616I
+0.10935645 -0.047183988I, -0.32806936 +0.14155196I, +0.22883026 +0.57658806I
-0.04337646 -0.064154097I, -0.2168823 -0.32077049I, +0.29654251 +0.020213575I
-0.00033928502 +0.091902242I, -0.0015267826 +0.41356009I, +0.49333988 -0.13438741I
-0.049920162 +0.0045206086I, -0.19968065 +0.018082434I, -1.0432362 -0.26863609I
-0.13659335 -0.089762719I, -0.47807672 -0.31416952I, +0.022019544 +0.56105825I
+0.024257285 +0.22543715I, +0.072771856 +0.67631145I, -0.45310675 -0.41338017I
-0.2978997 -0.11892913I, -0.74474926 -0.29732281I, +0.71131465 -0.1465968I
-0.45162651 -0.068616097I, -0.90325303 -0.13723219I, +0.66358715 +0.64862436I
+0.14938576 +0.075946491I, +0.22407864 +0.11391974I, +0.062444477 -1.5659346I
-0.234688 +0.53609932I, -0.234688 +0.53609932I, -0.6658294 -1.4568698I
+0.76897885 -0.54221963I, +0.38448942 -0.27110981I, -1.6617809 -0.020213436I
+2.2422011 +0.11374691I, -2.8563883e-15 -1.7690457e-16I, -1.347424 -0.18449655I
+0.76897885 -0.54221963I, -0.38448942 +0.27110981I, -1.6617809 -0.020213436I
-0.234688 +0.53609932I, +0.234688 -0.53609932I, -0.6658294 -1.4568698I
+0.14938576 +0.075946491I, -0.22407864 -0.11391974I, +0.062444477 -1.5659346I
-0.45162651 -0.068616097I, +0.90325303 +0.13723219I, +0.66358715 +0.64862436I
-0.2978997 -0.11892913I, +0.74474926 +0.29732281I, +0.71131465 -0.1465968I
+0.024257285 +0.22543715I, -0.072771856 -0.67631145I, -0.45310675 -0.41338017I
-0.13659335 -0.089762719I, +0.47807672 +0.31416952I, +0.022019544 +0.56105825I
-0.049920162 +0.0045206086I, +0.19968065 -0.018082434I, -1.0432362 -0.26863609I
-0.00033928502 +0.091902242I, +0.0015267826 -0.41356009I, +0.49333988 -0.13438741I
-0.032075145 +0.022691769I, -0.32075145 +0.22691769I, +0.32153111 +0.17484549I
+0.028322315 +0.0029103099I, +0.25490084 +0.026192789I, +0.63352304 -0.702303I
-0.00017988367 +0.059806135I, -0.0014390694 +0.47844908I, -0.6329234 -0.15154453I
-0.023753256 +0.015772213I, -0.1662728 +0.11040549I, -0.87566933 +0.79307703I
-0.0029159375 +0.049809078I, -0.017495625 +0.29885447I, +1.0592847 +0.61398498I
-0.04259826 +0.027298912I, -0.2129913 +0.13649456I, -1.1234743 -0.76762627I
-0.28317533 +0.047917642I, -1.1327013 +0.19167057I, +0.89974575 -0.035244271I
-0.14923364 -0.22906297I, -0.44770091 -0.68718892I, +1.5074036 +0.08688451I
+0.38448942 -0.27110981I, +0.76897885 -0.54221963I, -1.6617809 -0.020213436I
-0.48028605 +0.88124482I, -0.48028605 +0.88124482I, +0.36178934 -1.5243933I
-1.5650197 -0.6957264I, +1.8129428e-15 +8.1867163e-16I, +1.1758653 +0.60430825I
-0.48028605 +0.88124482I, +0.48028605 -0.88124482I, +0.36178934 -1.5243933I
+0.38448942 -0.27110981I, -0.76897885 +0.54221963I, -1.6617809 -0.020213436I
-0.14923364 -0.22906297I, +0.44770091 +0.68718892I, +1.5074036 +0.08688451I
-0.28317533 +0.047917642I, +1.1327013 -0.19167057I, +0.89974575 -0.035244271I
-0.04259826 +0.027298912I, +0.2129913 -0.13649456I, -1.1234743 -0.76762627I
-0.0029159375 +0.049809078I, +0.017495625 -0.29885447I, +1.0592847 +0.61398498I
-0.023753256 +0.015772213I, +0.1662728 -0.11040549I, -0.87566933 +0.79307703I
-0.00017988367 +0.059806135I, +0.0014390694 -0.47844908I, -0.6329234 -0.15154453I
+0.028322315 +0.0029103099I, -0.25490084 -0.026192789I, +0.63352304 -0.702303I
-3.0495699e-16 -8.5779615e-16I, -0.21691442 -0.3030445I, -0.36095383 +0.35410424I
-2.221371e-16 +4.505141e-19I, +0.016954529 +0.20467237I, +0.51969448 +0.87096738I
